x1,y1,x2,y2,rx,ry
0.0,0.0,0.543784672222,0.204570957044,1.08756934444,0.311141914089
0.543784672222,0.204570957044,1.08756934444,0.311141914089,1.63135401667,0.319712871133
1.08756934444,0.311141914089,1.63135401667,0.319712871133,2.17513868889,0.230283828178
1.63135401667,0.319712871133,2.17513868889,0.230283828178,2.71892336111,0.0428547852221
0.0,0.0,0.503273613124,0.6971338153,1.00654722625,1.2962676306
0.503273613124,0.6971338153,1.00654722625,1.2962676306,1.50982083937,1.7974014459
1.00654722625,1.2962676306,1.50982083937,1.7974014459,2.01309445249,2.2005352612
1.50982083937,1.7974014459,2.01309445249,2.2005352612,2.51636806562,2.5056690765
2.01309445249,2.2005352612,2.51636806562,2.5056690765,3.01964167874,2.7128028918
2.51636806562,2.5056690765,3.01964167874,2.7128028918,3.52291529187,2.8219367071
3.01964167874,2.7128028918,3.52291529187,2.8219367071,4.02618890499,2.8330705224
3.52291529187,2.8219367071,4.02618890499,2.8330705224,4.52946251811,2.7462043377
4.02618890499,2.8330705224,4.52946251811,2.7462043377,5.03273613124,2.561338153
4.52946251811,2.7462043377,5.03273613124,2.561338153,5.53600974436,2.27847196829
5.03273613124,2.561338153,5.53600974436,2.27847196829,6.03928335748,1.89760578359
5.53600974436,2.27847196829,6.03928335748,1.89760578359,6.54255697061,1.41873959889
6.03928335748,1.89760578359,6.54255697061,1.41873959889,7.04583058373,0.841873414194
6.54255697061,1.41873959889,7.04583058373,0.841873414194,7.54910419686,0.167007229493
0.0,0.0,0.479181306028,0.312089013891,0.958362612057,0.526178027782
0.479181306028,0.312089013891,0.958362612057,0.526178027782,1.43754391809,0.642267041674
0.958362612057,0.526178027782,1.43754391809,0.642267041674,1.91672522411,0.660356055565
1.43754391809,0.642267041674,1.91672522411,0.660356055565,2.39590653014,0.580445069456
1.91672522411,0.660356055565,2.39590653014,0.580445069456,2.87508783617,0.402534083347
2.39590653014,0.580445069456,2.87508783617,0.402534083347,3.3542691422,0.126623097239
0.0,0.0,1.13277670389,1.34986273062,2.26555340778,2.60172546125
1.13277670389,1.34986273062,2.26555340778,2.60172546125,3.39833011167,3.75558819187
2.26555340778,2.60172546125,3.39833011167,3.75558819187,4.53110681556,4.81145092249
3.39833011167,3.75558819187,4.53110681556,4.81145092249,5.66388351945,5.76931365311
4.53110681556,4.81145092249,5.66388351945,5.76931365311,6.79666022334,6.62917638374
5.66388351945,5.76931365311,6.79666022334,6.62917638374,7.92943692723,7.39103911436
6.79666022334,6.62917638374,7.92943692723,7.39103911436,9.06221363112,8.05490184498
7.92943692723,7.39103911436,9.06221363112,8.05490184498,10.194990335,8.6207645756
9.06221363112,8.05490184498,10.194990335,8.6207645756,11.3277670389,9.08862730623
10.194990335,8.6207645756,11.3277670389,9.08862730623,12.4605437428,9.45849003685
11.3277670389,9.08862730623,12.4605437428,9.45849003685,13.5933204467,9.73035276747
12.4605437428,9.45849003685,13.5933204467,9.73035276747,14.7260971506,9.90421549809
13.5933204467,9.73035276747,14.7260971506,9.90421549809,15.8588738545,9.98007822872
14.7260971506,9.90421549809,15.8588738545,9.98007822872,16.9916505583,9.95794095934
15.8588738545,9.98007822872,16.9916505583,9.95794095934,18.1244272622,9.83780368996
16.9916505583,9.95794095934,18.1244272622,9.83780368996,19.2572039661,9.61966642058
18.1244272622,9.83780368996,19.2572039661,9.61966642058,20.38998067,9.30352915121
19.2572039661,9.61966642058,20.38998067,9.30352915121,21.5227573739,8.88939188183
20.38998067,9.30352915121,21.5227573739,8.88939188183,22.6555340778,8.37725461245
21.5227573739,8.88939188183,22.6555340778,8.37725461245,23.7883107817,7.76711734307
22.6555340778,8.37725461245,23.7883107817,7.76711734307,24.9210874856,7.0589800737
23.7883107817,7.76711734307,24.9210874856,7.0589800737,26.0538641895,6.25284280432
24.9210874856,7.0589800737,26.0538641895,6.25284280432,27.1866408934,5.34870553494
26.0538641895,6.25284280432,27.1866408934,5.34870553494,28.3194175972,4.34656826556
27.1866408934,5.34870553494,28.3194175972,4.34656826556,29.4521943011,3.24643099619
28.3194175972,4.34656826556,29.4521943011,3.24643099619,30.584971005,2.04829372681
29.4521943011,3.24643099619,30.584971005,2.04829372681,31.7177477089,0.752156457431
0.0,0.0,0.76412082798,1.00272209269,1.52824165596,1.90744418537
0.76412082798,1.00272209269,1.52824165596,1.90744418537,2.29236248394,2.71416627806
1.52824165596,1.90744418537,2.29236248394,2.71416627806,3.05648331192,3.42288837075
2.29236248394,2.71416627806,3.05648331192,3.42288837075,3.8206041399,4.03361046344
3.05648331192,3.42288837075,3.8206041399,4.03361046344,4.58472496788,4.54633255612
